a,b,Target
1 , 2 , 3.0
2 , 3 , 5.0
3 , 4 , 7.0
4 , 5 , 9.0
5 , 6 , 11.0
1 , 2 , 5.0
2 , 3 , 7.0
3 , 4 , 9.0
4 , 5 , 11.0
5 , 6 , 13.0
1 , 2 , 7.0
2 , 3 , 9.0
3 , 4 , 11.0
4 , 5 , 13.0
5 , 6 , 15.0
1 , 2 , 12.0
2 , 3 , 16.0
3 , 4 , 20.0
4 , 5 , 24.0
5 , 6 , 28.0
1 , 2 , 17.0
2 , 3 , 23.0
3 , 4 , 29.0
4 , 5 , 35.0
5 , 6 , 41.0
1 , 2 , 22.0
2 , 3 , 30.0
3 , 4 , 38.0
4 , 5 , 46.0
5 , 6 , 54.0
1 , 2 , 27.0
2 , 3 , 37.0
3 , 4 , 47.0
4 , 5 , 57.0
5 , 6 , 67.0
1 , 2 , 32.0
2 , 3 , 44.0
3 , 4 , 56.0
4 , 5 , 68.0
5 , 6 , 80.0
1 , 2 , 33.0
2 , 3 , 47.0
3 , 4 , 61.0
4 , 5 , 75.0
5 , 6 , 89.0
1 , 2 , 70.0
2 , 3 , 90.0
3 , 4 , 110.0
4 , 5 , 130.0
5 , 6 , 150.0
